"Time","Timestamp","cpu_usage","memory_usage","bandwidth_inbound","bandwidth_outbound","tps","tps_error","response_time","Status"
"2023-06-12 11:43:10","1686544990000","2.80%","37.1%","129 MB/s","156 MB/s","0.400 req/s","0 req/s","125 ms","0"
"2023-06-12 11:43:15","1686544995000","10.0%","37.1%","2.59 GB/s","2.20 GB/s","0.800 req/s","0 req/s","820 ms","0"
"2023-06-12 11:43:20","1686545000000","1.60%","37.1%","14.1 MB/s","11.1 MB/s","0.600 req/s","0 req/s","211 ms","0"
"2023-06-12 11:43:25","1686545005000","6.60%","37.1%","2.98 GB/s","2.55 GB/s","0.600 req/s","0 req/s","332 ms","0"
"2023-06-12 11:43:30","1686545010000","3.60%","37.1%","2.89 GB/s","2.46 GB/s","0.400 req/s","0 req/s","216 ms","0"
"2023-06-12 11:43:35","1686545015000","5.60%","37.1%","4.88 GB/s","4.15 GB/s","0.600 req/s","0 req/s","277 ms","0"
"2023-06-12 11:43:40","1686545020000","5.80%","37.1%","2.83 GB/s","2.43 GB/s","0.600 req/s","0 req/s","452 ms","0"
"2023-06-12 11:43:45","1686545025000","3.80%","37.1%","188 MB/s","169 MB/s","0.600 req/s","0 req/s","355 ms","0"
"2023-06-12 11:43:50","1686545030000","6.80%","37.1%","5.72 GB/s","4.87 GB/s","0.600 req/s","0 req/s","196 ms","0"
"2023-06-12 11:43:55","1686545035000","3.80%","37.1%","2.64 GB/s","2.25 GB/s","0.600 req/s","0 req/s","205 ms","0"
"2023-06-12 11:44:00","1686545040000","5.40%","37.1%","193 MB/s","222 MB/s","0.400 req/s","0 req/s","1.28 s","0"
"2023-06-12 11:44:05","1686545045000","7.40%","37.1%","2.83 GB/s","2.40 GB/s","0.600 req/s","0 req/s","219 ms","0"
"2023-06-12 11:44:10","1686545050000","11.0%","37.1%","764 MB/s","1.10 GB/s","0.600 req/s","0 req/s","1.01 s","0"
"2023-06-12 11:44:15","1686545055000","2.20%","37.1%","2.04 GB/s","1.33 GB/s","0.400 req/s","0 req/s","98.8 ms","0"
"2023-06-12 11:44:20","1686545060000","9.60%","37.1%","2.56 GB/s","2.22 GB/s","0.800 req/s","0 req/s","571 ms","0"
"2023-06-12 11:44:25","1686545065000","0.400%","37.1%","8.78 MB/s","6.46 MB/s","0.400 req/s","0 req/s","101 ms","0"
"2023-06-12 11:44:30","1686545070000","0.800%","37.1%","15.6 MB/s","12.4 MB/s","0.200 req/s","0 req/s","18.0 ms","0"
"2023-06-12 11:44:35","1686545075000","1.20%","37.1%","20.3 MB/s","16.4 MB/s","0.400 req/s","0 req/s","88.3 ms","0"
"2023-06-12 11:44:40","1686545080000","0.800%","37.1%","14.8 MB/s","11.7 MB/s","0.400 req/s","0 req/s","91.5 ms","0"
"2023-06-12 11:44:45","1686545085000","3.00%","37.1%","2.24 GB/s","1.91 GB/s","0.400 req/s","0 req/s","191 ms","0"
"2023-06-12 11:44:50","1686545090000","0.800%","37.1%","8.75 MB/s","6.45 MB/s","0.400 req/s","0 req/s","450 ms","0"
"2023-06-12 11:44:55","1686545095000","2.60%","37.1%","146 MB/s","140 MB/s","0.200 req/s","0 req/s","13.4 ms","0"
"2023-06-12 11:45:00","1686545100000","5.80%","37.1%","278 MB/s","269 MB/s","0.400 req/s","0 req/s","760 ms","0"
"2023-06-12 11:45:05","1686545105000","0.800%","37.1%","19.4 MB/s","15.7 MB/s","0.400 req/s","0 req/s","118 ms","0"
"2023-06-12 11:45:10","1686545110000","2.80%","37.1%","2.21 GB/s","1.88 GB/s","0.400 req/s","0 req/s","216 ms","0"
"2023-06-12 11:45:15","1686545115000","1.000%","37.1%","9.11 MB/s","6.88 MB/s","0.400 req/s","0 req/s","106 ms","0"
"2023-06-12 11:45:20","1686545120000","1.00%","37.1%","23.7 MB/s","19.4 MB/s","0.400 req/s","0 req/s","52.7 ms","0"
"2023-06-12 11:45:25","1686545125000","0.600%","37.1%","18.2 MB/s","14.6 MB/s","0.200 req/s","0 req/s","15.3 ms","0"
"2023-06-12 11:45:30","1686545130000","2.80%","37.1%","2.48 GB/s","2.11 GB/s","0.400 req/s","0 req/s","196 ms","0"
"2023-06-12 11:45:35","1686545135000","1.000%","37.1%","22.9 MB/s","18.7 MB/s","0.400 req/s","0 req/s","38.9 ms","0"
"2023-06-12 11:45:40","1686545140000","1.60%","37.1%","57.6 MB/s","79.5 MB/s","0.200 req/s","0 req/s","15.6 ms","0"
"2023-06-12 11:45:45","1686545145000","6.00%","37.1%","322 MB/s","284 MB/s","0.600 req/s","0 req/s","846 ms","0"
"2023-06-12 11:45:50","1686545150000","4.00%","37.1%","2.82 GB/s","2.40 GB/s","0.200 req/s","0 req/s","16.5 ms","0"
"2023-06-12 11:45:55","1686545155000","1.80%","37.1%","81.7 MB/s","77.3 MB/s","0.400 req/s","0 req/s","241 ms","0"
"2023-06-12 11:46:00","1686545160000","0.800%","37.1%","14.3 MB/s","11.3 MB/s","0.400 req/s","0 req/s","95.7 ms","0"
"2023-06-12 11:46:05","1686545165000","4.40%","37.1%","1.30 GB/s","1.62 GB/s","0.400 req/s","0 req/s","276 ms","0"
"2023-06-12 11:46:10","1686545170000","0.800%","37.1%","1.48 GB/s","741 MB/s","0.200 req/s","0 req/s","15.1 ms","0"
"2023-06-12 11:46:15","1686545175000","4.80%","37.1%","231 MB/s","223 MB/s","0.400 req/s","0 req/s","678 ms","0"
"2023-06-12 11:46:20","1686545180000","0.800%","37.1%","19.3 MB/s","15.5 MB/s","0.400 req/s","0 req/s","109 ms","0"
"2023-06-12 11:46:25","1686545185000","5.20%","37.1%","181 MB/s","174 MB/s","0.400 req/s","0 req/s","573 ms","0"
