"Time","memory_usage"
2023-06-12 11:53:30,38.0%
2023-06-12 11:53:35,38.0%
2023-06-12 11:53:40,38.0%
2023-06-12 11:53:45,37.3%
2023-06-12 11:53:50,38.0%
2023-06-12 11:53:55,38.0%
2023-06-12 11:54:00,37.5%
2023-06-12 11:54:05,37.5%
2023-06-12 11:54:10,37.5%
2023-06-12 11:54:15,37.9%
2023-06-12 11:54:20,37.7%
2023-06-12 11:54:25,37.8%
2023-06-12 11:54:30,37.8%
2023-06-12 11:54:35,37.8%
2023-06-12 11:54:40,37.8%
2023-06-12 11:54:45,37.2%
2023-06-12 11:54:50,37.2%
2023-06-12 11:54:55,37.2%
2023-06-12 11:55:00,37.2%
2023-06-12 11:55:05,37.2%
2023-06-12 11:55:10,38.0%
2023-06-12 11:55:15,38.0%
2023-06-12 11:55:20,38.0%
2023-06-12 11:55:25,38.0%
2023-06-12 11:55:30,38.0%
2023-06-12 11:55:35,38.0%
2023-06-12 11:55:40,38.0%
2023-06-12 11:55:45,37.5%
2023-06-12 11:55:50,37.5%
2023-06-12 11:55:55,37.1%
2023-06-12 11:56:00,37.1%
2023-06-12 11:56:05,37.5%
2023-06-12 11:56:10,37.5%
2023-06-12 11:56:15,37.5%
2023-06-12 11:56:20,37.5%
2023-06-12 11:56:25,37.5%
2023-06-12 11:56:30,37.5%
2023-06-12 11:56:35,37.5%
2023-06-12 11:56:40,37.5%
2023-06-12 11:56:45,37.0%
2023-06-12 11:56:50,37.0%
2023-06-12 11:56:55,37.0%
2023-06-12 11:57:00,37.0%
2023-06-12 11:57:05,37.0%
2023-06-12 11:57:10,37.0%
2023-06-12 11:57:15,37.0%
2023-06-12 11:57:20,37.0%
2023-06-12 11:57:25,37.4%
2023-06-12 11:57:30,37.4%
2023-06-12 11:57:35,37.4%
2023-06-12 11:57:40,37.4%
2023-06-12 11:57:45,37.4%
2023-06-12 11:57:50,37.4%
2023-06-12 11:57:55,37.4%
2023-06-12 11:58:00,37.4%
2023-06-12 11:58:05,37.4%
2023-06-12 11:58:10,37.4%
2023-06-12 11:58:15,37.4%
2023-06-12 11:58:20,37.8%
2023-06-12 11:58:25,37.6%
2023-06-12 11:58:30,37.6%
2023-06-12 11:58:35,37.6%
2023-06-12 11:58:40,37.6%
2023-06-12 11:58:45,36.5%
2023-06-12 11:58:50,36.9%
2023-06-12 11:58:55,36.9%
2023-06-12 11:59:00,36.9%
2023-06-12 11:59:05,36.9%
2023-06-12 11:59:10,37.3%
2023-06-12 11:59:15,37.3%
2023-06-12 11:59:20,37.3%
2023-06-12 11:59:25,37.3%
2023-06-12 11:59:30,37.3%
2023-06-12 11:59:35,37.3%
2023-06-12 11:59:40,38.5%
2023-06-12 11:59:45,38.5%
2023-06-12 11:59:50,38.5%
2023-06-12 11:59:55,37.4%
2023-06-12 12:00:00,37.4%
2023-06-12 12:00:05,36.7%
2023-06-12 12:00:10,36.0%
2023-06-12 12:00:15,36.0%
2023-06-12 12:00:20,36.8%
2023-06-12 12:00:25,36.8%
2023-06-12 12:00:30,36.8%
2023-06-12 12:00:35,36.7%
2023-06-12 12:00:40,36.0%
2023-06-12 12:00:45,36.0%
2023-06-12 12:00:50,36.5%
2023-06-12 12:00:55,36.8%
2023-06-12 12:01:00,36.8%
2023-06-12 12:01:05,36.8%
2023-06-12 12:01:10,36.8%
2023-06-12 12:01:15,36.8%
2023-06-12 12:01:20,37.2%
2023-06-12 12:01:25,36.0%
2023-06-12 12:01:30,36.8%
2023-06-12 12:01:35,36.9%
2023-06-12 12:01:40,36.9%
2023-06-12 12:01:45,37.3%
2023-06-12 12:01:50,37.8%
2023-06-12 12:01:55,38.2%
2023-06-12 12:02:00,38.2%
2023-06-12 12:02:05,38.2%
2023-06-12 12:02:10,38.2%
2023-06-12 12:02:15,37.5%
