"Time","tps","tps_error"
2023-06-12 11:58:35,2.20 req/s,0 req/s
2023-06-12 11:58:40,2.40 req/s,0 req/s
2023-06-12 11:58:45,1.80 req/s,0 req/s
2023-06-12 11:58:50,3.60 req/s,0 req/s
2023-06-12 11:58:55,2 req/s,0 req/s
2023-06-12 11:59:00,2.80 req/s,0 req/s
2023-06-12 11:59:05,2.40 req/s,0 req/s
2023-06-12 11:59:10,2.40 req/s,0 req/s
2023-06-12 11:59:15,2.60 req/s,0 req/s
2023-06-12 11:59:20,2.60 req/s,0 req/s
2023-06-12 11:59:25,2.40 req/s,0 req/s
2023-06-12 11:59:30,2.40 req/s,0 req/s
2023-06-12 11:59:35,1.80 req/s,0 req/s
2023-06-12 11:59:40,3.20 req/s,0 req/s
2023-06-12 11:59:45,2.60 req/s,0 req/s
2023-06-12 11:59:50,2.60 req/s,0 req/s
2023-06-12 11:59:55,3.20 req/s,0 req/s
2023-06-12 12:00:00,3.80 req/s,0 req/s
2023-06-12 12:00:05,2.80 req/s,0 req/s
2023-06-12 12:00:10,3.40 req/s,2.80 req/s
2023-06-12 12:00:15,4.80 req/s,3.40 req/s
2023-06-12 12:00:20,3 req/s,0.600 req/s
2023-06-12 12:00:25,3.40 req/s,2.20 req/s
2023-06-12 12:00:30,4.60 req/s,1.80 req/s
2023-06-12 12:00:35,3.60 req/s,1 req/s
2023-06-12 12:00:40,3.40 req/s,2.80 req/s
2023-06-12 12:00:45,3.80 req/s,3 req/s
2023-06-12 12:00:50,4 req/s,1.40 req/s
2023-06-12 12:00:55,3 req/s,1.60 req/s
2023-06-12 12:01:00,4.20 req/s,2.40 req/s
2023-06-12 12:01:05,3.80 req/s,2.60 req/s
2023-06-12 12:01:10,4.20 req/s,1.80 req/s
2023-06-12 12:01:15,2.20 req/s,0.600 req/s
2023-06-12 12:01:20,4.20 req/s,2.80 req/s
2023-06-12 12:01:25,5.40 req/s,2.60 req/s
2023-06-12 12:01:30,3 req/s,1 req/s
2023-06-12 12:01:35,3.60 req/s,0.400 req/s
2023-06-12 12:01:40,3.80 req/s,0.800 req/s
2023-06-12 12:01:45,1 req/s,0 req/s
