"Time","bandwidth_inbound","bandwidth_outbound"
2023-05-25 18:27:20,4.20 GB/s,3.30 GB/s
2023-05-25 18:27:25,7.86 GB/s,6.70 GB/s
2023-05-25 18:27:30,4.75 GB/s,4.06 GB/s
2023-05-25 18:27:35,8.19 GB/s,7.04 GB/s
2023-05-25 18:27:40,5.96 GB/s,5.11 GB/s
2023-05-25 18:27:45,136 MB/s,160 MB/s
2023-05-25 18:27:50,3.77 GB/s,3.34 GB/s
2023-05-25 18:27:55,5.98 GB/s,5.14 GB/s
2023-05-25 18:28:00,2.76 GB/s,2.39 GB/s
2023-05-25 18:28:05,5.02 GB/s,4.33 GB/s
2023-05-25 18:28:10,5.75 GB/s,4.98 GB/s
2023-05-25 18:28:15,2.49 GB/s,2.60 GB/s
2023-05-25 18:28:20,4.39 GB/s,3.50 GB/s
2023-05-25 18:28:25,5.52 GB/s,4.79 GB/s
2023-05-25 18:28:30,5.93 GB/s,5.06 GB/s
2023-05-25 18:28:35,3.42 GB/s,3.01 GB/s
2023-05-25 18:28:40,3.42 GB/s,2.99 GB/s
2023-05-25 18:28:45,5.84 GB/s,5.18 GB/s
2023-05-25 18:28:50,8.26 GB/s,7.08 GB/s
2023-05-25 18:28:55,8.87 GB/s,7.61 GB/s
2023-05-25 18:29:00,5.62 GB/s,4.79 GB/s
2023-05-25 18:29:05,5.72 GB/s,4.96 GB/s
2023-05-25 18:29:10,3.53 GB/s,3.09 GB/s
2023-05-25 18:29:15,2.72 GB/s,2.35 GB/s
2023-05-25 18:29:20,2.77 GB/s,2.42 GB/s
2023-05-25 18:29:25,13.6 GB/s,11.6 GB/s
2023-05-25 18:29:30,2.77 GB/s,2.37 GB/s
2023-05-25 18:29:35,7.05 GB/s,6.03 GB/s
2023-05-25 18:29:40,3.24 GB/s,2.85 GB/s
2023-05-25 18:29:45,2.80 GB/s,2.38 GB/s
2023-05-25 18:29:50,5.21 GB/s,4.50 GB/s
2023-05-25 18:29:55,6.21 GB/s,5.40 GB/s
2023-05-25 18:30:00,664 MB/s,684 MB/s
2023-05-25 18:30:05,5.15 GB/s,4.37 GB/s
2023-05-25 18:30:10,5.71 GB/s,4.96 GB/s
2023-05-25 18:30:15,6.14 GB/s,5.27 GB/s
2023-05-25 18:30:20,5.85 GB/s,5.05 GB/s
2023-05-25 18:30:25,7.92 GB/s,6.77 GB/s
2023-05-25 18:30:30,5.79 GB/s,5.04 GB/s
2023-05-25 18:30:35,5.73 GB/s,4.97 GB/s
2023-05-25 18:30:40,5.94 GB/s,5.14 GB/s
2023-05-25 18:30:45,3.34 GB/s,2.90 GB/s
2023-05-25 18:30:50,5.43 GB/s,4.62 GB/s
2023-05-25 18:30:55,7.68 GB/s,6.56 GB/s
2023-05-25 18:31:00,5.13 GB/s,4.36 GB/s
2023-05-25 18:31:05,11.0 GB/s,9.44 GB/s
2023-05-25 18:31:10,5.61 GB/s,5.04 GB/s
2023-05-25 18:31:15,7.04 GB/s,5.77 GB/s
2023-05-25 18:31:20,8.46 GB/s,7.73 GB/s
2023-05-25 18:31:25,6.60 GB/s,5.37 GB/s
2023-05-25 18:31:30,16.9 GB/s,14.5 GB/s
2023-05-25 18:31:35,9.47 GB/s,8.24 GB/s
2023-05-25 18:31:40,18.3 GB/s,16.4 GB/s
2023-05-25 18:31:45,14.8 GB/s,12.4 GB/s
2023-05-25 18:31:50,17.4 GB/s,14.7 GB/s
2023-05-25 18:31:55,23.6 GB/s,20.1 GB/s
2023-05-25 18:32:00,6.59 GB/s,5.94 GB/s
2023-05-25 18:32:05,9.25 GB/s,7.92 GB/s
2023-05-25 18:32:10,6.34 GB/s,5.66 GB/s
2023-05-25 18:32:15,9.20 GB/s,8.02 GB/s
2023-05-25 18:32:20,11.4 GB/s,9.85 GB/s
2023-05-25 18:32:25,11.5 GB/s,10.0 GB/s
2023-05-25 18:32:30,14.2 GB/s,12.3 GB/s
2023-05-25 18:32:35,16.9 GB/s,14.5 GB/s
2023-05-25 18:32:40,25.9 GB/s,22.4 GB/s
