"Time","response_time"
2023-05-25 18:34:15,1.54 s
2023-05-25 18:34:20,1.49 s
2023-05-25 18:34:25,1.38 s
2023-05-25 18:34:30,1.09 s
2023-05-25 18:34:35,979 ms
2023-05-25 18:34:40,807 ms
2023-05-25 18:34:45,716 ms
2023-05-25 18:34:50,656 ms
2023-05-25 18:34:55,609 ms
2023-05-25 18:35:00,649 ms
2023-05-25 18:35:05,644 ms
2023-05-25 18:35:10,620 ms
2023-05-25 18:35:15,576 ms
2023-05-25 18:35:20,532 ms
2023-05-25 18:35:25,474 ms
2023-05-25 18:35:30,479 ms
2023-05-25 18:35:35,483 ms
2023-05-25 18:35:40,553 ms
2023-05-25 18:35:45,576 ms
2023-05-25 18:35:50,648 ms
2023-05-25 18:35:55,675 ms
2023-05-25 18:36:00,697 ms
2023-05-25 18:36:05,733 ms
2023-05-25 18:36:10,780 ms
2023-05-25 18:36:15,813 ms
2023-05-25 18:36:20,837 ms
2023-05-25 18:36:25,852 ms
2023-05-25 18:36:30,865 ms
2023-05-25 18:36:35,816 ms
2023-05-25 18:36:40,834 ms
2023-05-25 18:36:45,810 ms
2023-05-25 18:36:50,765 ms
2023-05-25 18:36:55,786 ms
2023-05-25 18:37:00,786 ms
2023-05-25 18:37:05,758 ms
2023-05-25 18:37:10,790 ms
2023-05-25 18:37:15,767 ms
2023-05-25 18:37:20,769 ms
2023-05-25 18:37:25,769 ms
2023-05-25 18:37:30,766 ms
2023-05-25 18:37:35,757 ms
2023-05-25 18:37:40,794 ms
2023-05-25 18:37:45,802 ms
2023-05-25 18:37:50,849 ms
2023-05-25 18:37:55,803 ms
2023-05-25 18:38:00,846 ms
2023-05-25 18:38:05,833 ms
2023-05-25 18:38:10,847 ms
2023-05-25 18:38:15,831 ms
2023-05-25 18:38:20,853 ms
2023-05-25 18:38:25,923 ms
2023-05-25 18:38:30,949 ms
2023-05-25 18:38:35,921 ms
2023-05-25 18:38:40,962 ms
2023-05-25 18:38:45,907 ms
2023-05-25 18:38:50,914 ms
2023-05-25 18:38:55,860 ms
2023-05-25 18:39:00,888 ms
2023-05-25 18:39:05,863 ms
2023-05-25 18:39:10,882 ms
2023-05-25 18:39:15,866 ms
2023-05-25 18:39:20,820 ms
2023-05-25 18:39:25,813 ms
2023-05-25 18:39:30,813 ms
2023-05-25 18:39:35,799 ms
2023-05-25 18:39:40,784 ms
2023-05-25 18:39:45,785 ms
2023-05-25 18:39:50,842 ms
2023-05-25 18:39:55,940 ms
2023-05-25 18:40:00,1.14 s
2023-05-25 18:40:05,1.27 s
2023-05-25 18:40:10,1.66 s
2023-05-25 18:40:15,1.96 s
2023-05-25 18:40:20,2.19 s
2023-05-25 18:40:25,2.49 s
2023-05-25 18:40:30,2.76 s
2023-05-25 18:40:35,3.09 s
2023-05-25 18:40:40,3.22 s
2023-05-25 18:40:45,3.31 s
2023-05-25 18:40:50,3.51 s
2023-05-25 18:40:55,3.60 s
2023-05-25 18:41:00,3.78 s
2023-05-25 18:41:05,3.70 s
2023-05-25 18:41:10,3.70 s
2023-05-25 18:41:15,3.75 s
2023-05-25 18:41:20,3.80 s
2023-05-25 18:41:25,3.78 s
2023-05-25 18:41:30,3.75 s
2023-05-25 18:41:35,3.74 s
2023-05-25 18:41:40,3.75 s
2023-05-25 18:41:45,3.75 s
2023-05-25 18:41:50,3.68 s
2023-05-25 18:41:55,3.46 s
2023-05-25 18:42:00,3.43 s
2023-05-25 18:42:05,3.30 s
2023-05-25 18:42:10,3.09 s
2023-05-25 18:42:15,2.69 s
2023-05-25 18:42:20,2.40 s
2023-05-25 18:42:25,2.00 s
2023-05-25 18:42:30,1.35 s
2023-05-25 18:42:35,647 ms
2023-05-25 18:42:40,658 ms
2023-05-25 18:42:45,600 ms
2023-05-25 18:42:50,619 ms
2023-05-25 18:42:55,638 ms
2023-05-25 18:43:00,585 ms
