"Time","total-req-rate","ok-req-rate","error-req-rate"
2023-04-18 15:34:40,0.509 req/s,0.509 req/s,0 req/s
2023-04-18 15:34:45,0.491 req/s,0.491 req/s,0 req/s
2023-04-18 15:34:50,0.509 req/s,0.509 req/s,0 req/s
2023-04-18 15:34:55,0.509 req/s,0.509 req/s,0 req/s
2023-04-18 15:35:00,0.509 req/s,0.509 req/s,0 req/s
2023-04-18 15:35:05,0.491 req/s,0.491 req/s,0 req/s
2023-04-18 15:35:10,0.491 req/s,0.491 req/s,0 req/s
2023-04-18 15:35:15,0.509 req/s,0.509 req/s,0 req/s
2023-04-18 15:35:20,0.509 req/s,0.509 req/s,0 req/s
2023-04-18 15:35:25,0.509 req/s,0.509 req/s,0 req/s
2023-04-18 15:35:30,0.509 req/s,0.509 req/s,0 req/s
2023-04-18 15:35:35,0.509 req/s,0.509 req/s,0 req/s
2023-04-18 15:35:40,0.527 req/s,0.527 req/s,0 req/s
2023-04-18 15:35:45,0.509 req/s,0.509 req/s,0 req/s
2023-04-18 15:35:50,0.491 req/s,0.491 req/s,0 req/s
2023-04-18 15:35:55,0.509 req/s,0.509 req/s,0 req/s
2023-04-18 15:36:00,0.527 req/s,0.527 req/s,0 req/s
2023-04-18 15:36:05,0.527 req/s,0.527 req/s,0 req/s
2023-04-18 15:36:10,0.491 req/s,0.491 req/s,0 req/s
2023-04-18 15:36:15,0.509 req/s,0.509 req/s,0 req/s
2023-04-18 15:36:20,0.509 req/s,0.509 req/s,0 req/s
2023-04-18 15:36:25,0.509 req/s,0.509 req/s,0 req/s
2023-04-18 15:36:30,0.509 req/s,0.509 req/s,0 req/s
2023-04-18 15:36:35,0.491 req/s,0.491 req/s,0 req/s
2023-04-18 15:36:40,0.491 req/s,0.491 req/s,0 req/s
2023-04-18 15:36:45,0.527 req/s,0.527 req/s,0 req/s
2023-04-18 15:36:50,0.509 req/s,0.509 req/s,0 req/s
2023-04-18 15:36:55,0.509 req/s,0.509 req/s,0 req/s
2023-04-18 15:37:00,0.509 req/s,0.509 req/s,0 req/s
2023-04-18 15:37:05,0.527 req/s,0.527 req/s,0 req/s
2023-04-18 15:37:10,0.509 req/s,0.509 req/s,0 req/s
2023-04-18 15:37:15,0.509 req/s,0.509 req/s,0 req/s
2023-04-18 15:37:20,0.509 req/s,0.509 req/s,0 req/s
2023-04-18 15:37:25,0.636 req/s,0.636 req/s,0 req/s
2023-04-18 15:37:30,0.945 req/s,0.727 req/s,0.218 req/s
2023-04-18 15:37:35,1.42 req/s,0.782 req/s,0.636 req/s
2023-04-18 15:37:40,1.71 req/s,0.782 req/s,0.927 req/s
2023-04-18 15:37:45,2.15 req/s,0.782 req/s,1.36 req/s
2023-04-18 15:37:50,2.55 req/s,0.855 req/s,1.69 req/s
2023-04-18 15:37:55,2.95 req/s,0.891 req/s,2.05 req/s
2023-04-18 15:38:00,3.35 req/s,0.909 req/s,2.44 req/s
2023-04-18 15:38:05,3.76 req/s,0.982 req/s,2.78 req/s
2023-04-18 15:38:10,4.22 req/s,1.02 req/s,3.20 req/s
2023-04-18 15:38:15,4.53 req/s,1.05 req/s,3.47 req/s
2023-04-18 15:38:20,4.84 req/s,1.02 req/s,3.82 req/s
2023-04-18 15:38:25,4.95 req/s,0.982 req/s,3.96 req/s
2023-04-18 15:38:30,4.84 req/s,0.927 req/s,3.91 req/s
2023-04-18 15:38:35,4.89 req/s,0.891 req/s,4 req/s
2023-04-18 15:38:40,4.89 req/s,1 req/s,3.89 req/s
2023-04-18 15:38:45,4.84 req/s,0.945 req/s,3.89 req/s
2023-04-18 15:38:50,4.91 req/s,1.04 req/s,3.87 req/s
2023-04-18 15:38:55,4.78 req/s,1.15 req/s,3.64 req/s
2023-04-18 15:39:00,4.55 req/s,1.25 req/s,3.29 req/s
2023-04-18 15:39:05,4.22 req/s,1.35 req/s,2.87 req/s
2023-04-18 15:39:10,4.09 req/s,1.49 req/s,2.60 req/s
2023-04-18 15:39:15,3.76 req/s,1.51 req/s,2.25 req/s
2023-04-18 15:39:20,3.53 req/s,1.64 req/s,1.89 req/s
2023-04-18 15:39:25,3.35 req/s,1.82 req/s,1.53 req/s
2023-04-18 15:39:30,3.13 req/s,1.98 req/s,1.15 req/s
2023-04-18 15:39:35,2.87 req/s,2.05 req/s,0.818 req/s
2023-04-18 15:39:40,2.67 req/s,2.18 req/s,0.491 req/s
2023-04-18 15:39:45,2.38 req/s,2.24 req/s,0.145 req/s
2023-04-18 15:39:50,2.24 req/s,2.24 req/s,0 req/s
2023-04-18 15:39:55,2.24 req/s,2.24 req/s,0 req/s
2023-04-18 15:40:00,2.18 req/s,2.18 req/s,0 req/s
2023-04-18 15:40:05,2.22 req/s,2.22 req/s,0 req/s
2023-04-18 15:40:10,2.25 req/s,2.25 req/s,0 req/s
2023-04-18 15:40:15,2.27 req/s,2.27 req/s,0 req/s
2023-04-18 15:40:20,2.24 req/s,2.24 req/s,0 req/s
2023-04-18 15:40:25,2.29 req/s,2.29 req/s,0 req/s
2023-04-18 15:40:30,2.27 req/s,2.27 req/s,0 req/s
2023-04-18 15:40:35,2.29 req/s,2.29 req/s,0 req/s
2023-04-18 15:40:40,2.24 req/s,2.24 req/s,0 req/s
2023-04-18 15:40:45,2.27 req/s,2.27 req/s,0 req/s
2023-04-18 15:40:50,2.29 req/s,2.29 req/s,0 req/s
2023-04-18 15:40:55,2.36 req/s,2.36 req/s,0 req/s
2023-04-18 15:41:00,2.31 req/s,2.31 req/s,0 req/s
2023-04-18 15:41:05,2.27 req/s,2.27 req/s,0 req/s
2023-04-18 15:41:10,2.29 req/s,2.29 req/s,0 req/s
2023-04-18 15:41:15,2.29 req/s,2.29 req/s,0 req/s
2023-04-18 15:41:20,2.13 req/s,2.13 req/s,0 req/s
