"Time","br-10cd1f6f3899 receive","docker0 receive","eth0 receive","eth1 receive","lo receive","vetha44c48b receive","br-10cd1f6f3899 transmit","docker0 transmit","eth0 transmit","eth1 transmit","lo transmit","vetha44c48b transmit"
2023-04-18 15:33:05,2.19 GB/s,0 kB/s,0 kB/s,1.82 GB/s,0 kB/s,2.20 GB/s,1.82 GB/s,0 kB/s,0 kB/s,2.20 GB/s,0 kB/s,1.82 GB/s
2023-04-18 15:33:10,2.19 GB/s,0 kB/s,45.2 kB/s,1.69 GB/s,0 kB/s,2.21 GB/s,1.69 GB/s,0 kB/s,40.8 kB/s,2.21 GB/s,0 kB/s,1.69 GB/s
2023-04-18 15:33:15,1.57 GB/s,0 kB/s,90.4 kB/s,2.41 GB/s,0 kB/s,1.58 GB/s,2.41 GB/s,0 kB/s,79.2 kB/s,1.58 GB/s,0 kB/s,2.41 GB/s
2023-04-18 15:33:20,1.25 GB/s,0 kB/s,45.2 kB/s,2.17 GB/s,0 kB/s,1.27 GB/s,2.17 GB/s,0 kB/s,32.4 kB/s,1.27 GB/s,0 kB/s,2.17 GB/s
2023-04-18 15:33:25,1.65 GB/s,0 kB/s,11.6 kB/s,2.02 GB/s,0 kB/s,1.68 GB/s,2.02 GB/s,0 kB/s,10.8 kB/s,1.68 GB/s,0 kB/s,2.02 GB/s
2023-04-18 15:33:30,317 MB/s,0 kB/s,0 kB/s,214 MB/s,0 kB/s,326 MB/s,214 MB/s,0 kB/s,0 kB/s,328 MB/s,0 kB/s,214 MB/s
2023-04-18 15:33:35,1.08 GB/s,0 kB/s,0 kB/s,660 MB/s,0 kB/s,1.08 GB/s,660 MB/s,0 kB/s,0 kB/s,1.08 GB/s,0 kB/s,660 MB/s
2023-04-18 15:33:40,1.12 GB/s,0 kB/s,0 kB/s,688 MB/s,0 kB/s,1.12 GB/s,688 MB/s,0 kB/s,0 kB/s,1.12 GB/s,0 kB/s,688 MB/s
2023-04-18 15:33:45,1.09 GB/s,0 kB/s,0 kB/s,667 MB/s,0 kB/s,1.09 GB/s,666 MB/s,0 kB/s,0 kB/s,1.09 GB/s,0 kB/s,666 MB/s
2023-04-18 15:33:50,997 MB/s,0 kB/s,0 kB/s,610 MB/s,0 kB/s,997 MB/s,610 MB/s,0 kB/s,0 kB/s,999 MB/s,0 kB/s,610 MB/s
2023-04-18 15:33:55,63.2 MB/s,0 kB/s,0 kB/s,57.8 MB/s,0 kB/s,65.4 MB/s,57.6 MB/s,0 kB/s,0 kB/s,67.3 MB/s,0 kB/s,57.6 MB/s
2023-04-18 15:34:00,2.07 GB/s,0 kB/s,22.4 kB/s,1.27 GB/s,0 kB/s,2.07 GB/s,1.27 GB/s,0 kB/s,10.8 kB/s,2.07 GB/s,0 kB/s,1.27 GB/s
2023-04-18 15:34:05,4.82 MB/s,0 kB/s,12 kB/s,2.99 MB/s,0 kB/s,4.86 MB/s,2.88 MB/s,0 kB/s,8.40 kB/s,6.77 MB/s,0 kB/s,2.88 MB/s
2023-04-18 15:34:10,5.61 MB/s,0 kB/s,33.6 kB/s,3.64 MB/s,0 kB/s,5.66 MB/s,3.53 MB/s,0 kB/s,30 kB/s,7.57 MB/s,0 kB/s,3.53 MB/s
2023-04-18 15:34:15,2.62 MB/s,0 kB/s,78.4 kB/s,500 MB/s,0 kB/s,3.02 MB/s,499 MB/s,0 kB/s,74.4 kB/s,4.92 MB/s,0 kB/s,499 MB/s
