"Time","iowait","irq","nice","softirq","steal","system","user"
2023-04-18 15:21:15,0%,0%,0%,0.600%,0.200%,0.800%,7.80%
2023-04-18 15:21:20,0%,0%,0%,0.400%,0.200%,0.200%,3.80%
2023-04-18 15:21:25,0%,0%,0%,0.800%,0.400%,0.800%,5%
2023-04-18 15:21:30,0%,0%,0%,2.20%,2.00%,3.40%,3.20%
2023-04-18 15:21:35,0%,0%,0%,2.00%,1.00%,2.00%,5.40%
2023-04-18 15:21:40,0%,0%,0%,0%,0.400%,0%,0.800%
2023-04-18 15:21:45,0%,0%,0%,1.20%,1.60%,1.40%,6.20%
2023-04-18 15:21:50,0%,0%,0%,0.400%,0.200%,0.200%,5.20%
2023-04-18 15:21:55,0%,0%,0%,1.60%,1.40%,1.80%,6.20%
2023-04-18 15:22:00,0%,0%,0%,2.40%,4.20%,2.80%,4.40%
2023-04-18 15:22:05,0%,0%,0%,1.40%,4.00%,2.20%,9.80%
2023-04-18 15:22:10,0%,0%,0%,0.600%,1.40%,1.40%,6.40%
2023-04-18 15:22:15,0%,0%,0%,1.00%,1.60%,1.20%,1.000%
2023-04-18 15:22:20,0%,0%,0%,0.800%,1.20%,1.000%,2.00%
2023-04-18 15:22:25,0%,0%,0%,2.00%,4.60%,2.60%,3.60%
2023-04-18 15:22:30,0%,0%,0%,0.600%,0.600%,1.00%,3.80%
2023-04-18 15:22:35,0%,0%,0%,1.40%,2.00%,2.40%,2.60%
2023-04-18 15:22:40,0%,0%,0%,2.60%,1.20%,3.20%,5.20%
2023-04-18 15:22:45,0%,0%,0%,0.400%,0.400%,0.400%,2.80%
2023-04-18 15:22:50,0%,0%,0%,1.000%,1.00%,2.00%,1.80%
2023-04-18 15:22:55,0%,0%,0%,0.800%,0.200%,0.800%,7.40%
2023-04-18 15:23:00,0%,0%,0%,1.60%,1.40%,2.60%,2.40%
2023-04-18 15:23:05,0%,0%,0%,2.80%,3.00%,4.40%,8.40%
2023-04-18 15:23:10,0%,0%,0%,0%,0%,0.200%,1.40%
2023-04-18 15:23:15,0%,0%,0%,1.00%,0.200%,0.600%,5%
2023-04-18 15:23:20,0%,0%,0%,0.400%,0.200%,0.600%,2.40%
2023-04-18 15:23:25,0%,0%,0%,0.400%,0.200%,0.200%,4.80%
2023-04-18 15:23:30,0%,0%,0%,0.400%,0.200%,0.400%,3.00%
2023-04-18 15:23:35,0%,0%,0%,3.20%,2.20%,3.00%,6.40%
2023-04-18 15:23:40,0%,0%,0%,0.200%,0.200%,1.00%,7.20%
2023-04-18 15:23:45,0%,0%,0%,2.60%,2.00%,3.00%,5.20%
2023-04-18 15:23:50,0%,0%,0%,2.60%,1.80%,2.60%,8.40%
2023-04-18 15:23:55,0%,0%,0%,1.80%,1.20%,1.60%,9.00%
2023-04-18 15:24:00,0%,0%,0%,2.60%,2.60%,3.00%,6.40%
2023-04-18 15:24:05,0%,0%,0%,2.20%,2.80%,2.60%,5.60%
2023-04-18 15:24:10,0%,0%,0%,1.00%,0.800%,2.00%,4.60%
2023-04-18 15:24:15,0%,0%,0%,1.20%,1.00%,1.40%,6.80%
2023-04-18 15:24:20,0%,0%,0%,3.20%,2.40%,3.80%,8.80%
2023-04-18 15:24:25,0%,0%,0%,3.40%,3.40%,5.60%,7.60%
2023-04-18 15:24:30,0%,0%,0%,1.40%,1.80%,3.60%,4.00%
2023-04-18 15:24:35,0%,0%,0%,1.000%,0.600%,1.80%,7.20%
2023-04-18 15:24:40,0%,0%,0%,2.40%,1.60%,4.20%,8.80%
2023-04-18 15:24:45,0%,0%,0%,3.20%,2.80%,3.60%,6.60%
2023-04-18 15:24:50,0%,0%,0%,2.80%,2.00%,5.80%,7.60%
2023-04-18 15:24:55,0%,0%,0%,1.20%,1.20%,1.80%,4.20%
2023-04-18 15:25:00,0%,0%,0%,2.00%,2.20%,2.60%,5.20%
2023-04-18 15:25:05,0%,0%,0%,0.600%,1.40%,1.00%,9.20%
2023-04-18 15:25:10,0%,0%,0%,1.80%,1.80%,3.60%,8.00%
2023-04-18 15:25:15,0%,0%,0%,2.00%,2.00%,3.00%,5%
2023-04-18 15:25:20,0%,0%,0%,1.40%,0.800%,1.80%,6.00%
2023-04-18 15:25:25,0%,0%,0%,3.00%,2.00%,3.60%,9.80%
2023-04-18 15:25:30,0%,0%,0%,5.40%,3.40%,6.20%,7.20%
2023-04-18 15:25:35,0%,0%,0%,4.20%,2.40%,5.40%,5.60%
2023-04-18 15:25:40,0%,0%,0%,3.60%,1.20%,4.60%,14.2%
2023-04-18 15:25:45,0%,0%,0%,1.60%,1.20%,2.80%,3.80%
2023-04-18 15:25:50,0%,0%,0%,3.00%,1.20%,4.40%,4.80%
2023-04-18 15:25:55,0%,0%,0%,2.40%,1.00%,2.40%,7.00%
2023-04-18 15:26:00,0%,0%,0%,2.80%,1.20%,2.60%,4.40%
2023-04-18 15:26:05,0%,0%,0%,7.80%,3.40%,7.60%,7.60%
2023-04-18 15:26:10,0%,0%,0%,3.00%,1.000%,3.40%,6.00%
2023-04-18 15:26:15,0%,0%,0%,0.200%,0.200%,0.800%,8.00%
2023-04-18 15:26:20,0%,0%,0%,1.40%,0.600%,2.00%,4.00%
2023-04-18 15:26:25,0%,0%,0%,0.200%,0.200%,0.400%,2.40%
2023-04-18 15:26:30,0%,0%,0%,0.800%,0.400%,1.60%,6.80%
2023-04-18 15:26:35,0%,0%,0%,2.60%,2.00%,4.20%,6.80%
2023-04-18 15:26:40,0%,0%,0%,4.40%,2.40%,5.40%,8.00%
2023-04-18 15:26:45,0%,0%,0%,0.600%,0.200%,0.400%,7.60%
2023-04-18 15:26:50,0%,0%,0%,1.60%,0.800%,3.00%,5.20%
2023-04-18 15:26:55,0%,0%,0%,0.600%,1.00%,2.20%,8.60%
2023-04-18 15:27:00,0%,0%,0%,2.60%,1.60%,2.80%,5%
2023-04-18 15:27:05,0%,0%,0%,2.80%,3.40%,3.00%,9.00%
2023-04-18 15:27:10,0%,0%,0%,0.600%,0.600%,2.00%,7.20%
2023-04-18 15:27:15,0%,0%,0%,1.60%,1.40%,1.80%,7.40%
2023-04-18 15:27:20,0%,0%,0%,1.80%,1.000%,1.60%,7.00%
2023-04-18 15:27:25,0%,0%,0%,1.60%,2.80%,2.00%,5%
2023-04-18 15:27:30,0%,0%,0%,1.00%,0.800%,1.40%,4.40%
2023-04-18 15:27:35,0%,0%,0%,2.60%,1.00%,2.00%,4.20%
2023-04-18 15:27:40,0%,0%,0%,0.600%,0.400%,0.800%,4.40%
2023-04-18 15:27:45,0%,0%,0%,2.20%,1.40%,3.40%,5.40%
2023-04-18 15:27:50,0%,0%,0%,1.80%,1.000%,3.00%,5.20%
2023-04-18 15:27:55,0%,0%,0%,1.60%,1.20%,2.40%,4.20%
2023-04-18 15:28:00,0%,0%,0%,3.20%,2.40%,3.80%,16.0%
2023-04-18 15:28:05,0%,0%,0%,6.00%,4.40%,5%,9.00%
2023-04-18 15:28:10,0%,0%,0%,7.60%,2.20%,6.00%,15.2%
2023-04-18 15:28:15,0%,0%,0%,5.80%,3.60%,5%,7.20%
2023-04-18 15:28:20,0%,0%,0%,6.40%,1.80%,5.20%,13.6%
2023-04-18 15:28:25,0%,0%,0%,6.20%,2.60%,6.40%,10.6%
2023-04-18 15:28:30,0%,0%,0%,6.80%,2.00%,7.20%,13.0%
2023-04-18 15:28:35,0%,0%,0%,6.40%,2.80%,4.60%,14.8%
2023-04-18 15:28:40,0%,0%,0%,7.40%,1.40%,6.40%,15.8%
2023-04-18 15:28:45,0%,0%,0%,6.20%,1.20%,5.20%,9.80%
2023-04-18 15:28:50,0%,0%,0%,6.80%,1.40%,5.80%,24.6%
2023-04-18 15:28:55,0%,0%,0%,6.80%,2.80%,6.80%,16.4%
2023-04-18 15:29:00,0%,0%,0%,7.60%,3.60%,5.20%,8.80%
2023-04-18 15:29:05,0%,0%,0%,6.80%,2.80%,6.20%,20.6%
2023-04-18 15:29:10,0%,0%,0%,6.00%,1.60%,5.80%,17.2%
2023-04-18 15:29:15,0%,0%,0%,5.40%,2.20%,7.00%,16.4%
2023-04-18 15:29:20,0%,0%,0%,6.80%,2.40%,8.40%,20.6%
2023-04-18 15:29:25,0%,0%,0%,7.80%,3.00%,8.20%,22.0%
2023-04-18 15:29:30,0%,0%,0%,6.00%,2.80%,6.80%,19.6%
2023-04-18 15:29:35,0%,0%,0%,6.00%,3.00%,8.00%,13.8%
