"Time","avg-res-time"
2023-04-18 14:24:15,858 ms
2023-04-18 14:24:20,1.02 s
2023-04-18 14:24:25,1.24 s
2023-04-18 14:24:30,1.55 s
2023-04-18 14:24:35,1.54 s
2023-04-18 14:24:40,1.54 s
2023-04-18 14:24:45,1.50 s
2023-04-18 14:24:50,1.55 s
2023-04-18 14:24:55,1.52 s
2023-04-18 14:25:00,1.55 s
2023-04-18 14:25:05,1.65 s
2023-04-18 14:25:10,1.81 s
2023-04-18 14:25:15,1.83 s
2023-04-18 14:25:20,1.69 s
2023-04-18 14:25:25,1.41 s
2023-04-18 14:25:30,1.45 s
2023-04-18 14:25:35,1.48 s
2023-04-18 14:25:40,1.50 s
2023-04-18 14:25:45,1.48 s
2023-04-18 14:25:50,1.52 s
2023-04-18 14:25:55,1.48 s
2023-04-18 14:26:00,1.38 s
2023-04-18 14:26:05,1.13 s
2023-04-18 14:26:10,1.00 s
2023-04-18 14:26:15,1.22 s
2023-04-18 14:26:20,1.55 s
2023-04-18 14:26:25,1.78 s
2023-04-18 14:26:30,1.98 s
2023-04-18 14:26:35,2.29 s
2023-04-18 14:26:40,2.51 s
2023-04-18 14:26:45,2.82 s
2023-04-18 14:26:50,3.02 s
2023-04-18 14:26:55,3.23 s
2023-04-18 14:27:00,3.50 s
2023-04-18 14:27:05,3.57 s
2023-04-18 14:27:10,3.55 s
2023-04-18 14:27:15,3.63 s
2023-04-18 14:27:20,3.67 s
2023-04-18 14:27:25,3.60 s
2023-04-18 14:27:30,3.51 s
2023-04-18 14:27:35,3.47 s
2023-04-18 14:27:40,3.47 s
2023-04-18 14:27:45,3.40 s
2023-04-18 14:27:50,3.42 s
2023-04-18 14:27:55,3.42 s
2023-04-18 14:28:00,3.33 s
2023-04-18 14:28:05,3.33 s
2023-04-18 14:28:10,3.06 s
2023-04-18 14:28:15,2.80 s
2023-04-18 14:28:20,2.82 s
2023-04-18 14:28:25,2.72 s
2023-04-18 14:28:30,2.49 s
2023-04-18 14:28:35,1.94 s
2023-04-18 14:28:40,1.72 s
2023-04-18 14:28:45,937 ms
2023-04-18 14:28:50,711 ms
2023-04-18 14:28:55,733 ms
2023-04-18 14:29:00,740 ms
2023-04-18 14:29:05,632 ms
