"Time","Timestamp [ms]","iowait [Ratios]","irq [Ratios]","nice [Ratios]","softirq [Ratios]","steal [Ratios]","system [Ratios]","user [Ratios]","Used [MiB]","Buffer [MiB]","Cached [MiB]","Free [MiB]","br-10cd1f6f3899 receive [MB/s]","docker0 receive [MB/s]","eth0 receive [MB/s]","eth1 receive [MB/s]","lo receive [MB/s]","veth6750e95 receive [MB/s]","br-10cd1f6f3899 transmit [MB/s]","docker0 transmit [MB/s]","eth0 transmit [MB/s]","eth1 transmit [MB/s]","lo transmit [MB/s]","veth6750e95 transmit [MB/s]","total-req-rate [req/s]","ok-req-rate [req/s]","error-req-rate [req/s]","avg-res-time [ms]","ServerStatus"
"2023-04-18 14:05:30","1681801530000","0","0","0","0.018000000000000002","0.01","0.024","0.08199999999999999","327","27.3","502","113","2100","0","0","1350","0","2110","1350","0","0","2110","0","1350","1.44","1.44","0","810","0"
"2023-04-18 14:05:35","1681801535000","0","0","0","0.024","0.022000000000000002","0.036000000000000004","0.096","327","27.3","502","113","2890","0","0","1790","0","2900","1790","0","0","2900","0","1790","1.45","1.45","0","811","0"
"2023-04-18 14:05:40","1681801540000","0","0","0","0.013999999999999999","0.018000000000000002","0.027999999999999997","0.034","327","27.3","502","113","148","0","0.08940000000000001","127","0","152","127","0","0.095","154","0","127","1.47","1.47","0","787","0"
"2023-04-18 14:05:45","1681801545000","0","0","0","0.01","0.004","0.004","0.14","327","27.3","502","113","4460","0","0.019600000000000003","2970","0","4460","2970","0","0.019600000000000003","4460","0","2970","1.45","1.45","0","774","0"
"2023-04-18 14:05:50","1681801550000","0","0","0","0.026000000000000002","0.01","0.027999999999999997","0.09","327","27.3","502","113","3510","0","0.08120000000000001","1950","0","3520","1950","0","0.0696","3520","0","1950","1.45","1.45","0","747","0"
"2023-04-18 14:05:55","1681801555000","0","0","0","0.016","0.012","0.026000000000000002","0.096","327","27.3","502","113","3100","0","0.137","1950","0","3100","1950","0","0.137","3100","0","1950","1.47","1.47","0","721","0"
"2023-04-18 14:06:00","1681801560000","0","0","0","0.026000000000000002","0.026000000000000002","0.034","0.106","327","27.3","502","113","3120","0","0.109","1960","0","3130","1960","0","0.109","3130","0","1960","1.45","1.45","0","663","0"
"2023-04-18 14:06:05","1681801565000","0","0","0","0.052000000000000005","0.046","0.05","0.14800000000000002","327","27.3","502","113","3140","0","0.0512","2500","0","3150","2500","0","0.0476","3150","0","2500","1.44","1.44","0","663","0"
"2023-04-18 14:06:10","1681801570000","0","0","0","0.01","0.004","0.004","0.08","327","27.3","502","113","3740","0","0.07","1780","0","3740","1780","0","0.040799999999999996","3740","0","1780","1.47","1.47","0","708","0"
"2023-04-18 14:06:15","1681801575000","0","0","0","0.012","0.012","0.02","0.066","327","27.3","502","113","1900","0","0.09240000000000001","1220","0","1910","1220","0","0.0888","1910","0","1220","1.47","1.47","0","623","0"
