"Time","Timestamp [ms]","iowait [Ratios]","irq [Ratios]","nice [Ratios]","softirq [Ratios]","steal [Ratios]","system [Ratios]","user [Ratios]","Used [MiB]","Buffer [MiB]","Cached [MiB]","Free [MiB]","br-10cd1f6f3899 receive [MB/s]","docker0 receive [MB/s]","eth0 receive [MB/s]","eth1 receive [MB/s]","lo receive [MB/s]","veth6750e95 receive [MB/s]","br-10cd1f6f3899 transmit [MB/s]","docker0 transmit [MB/s]","eth0 transmit [MB/s]","eth1 transmit [MB/s]","lo transmit [MB/s]","veth6750e95 transmit [MB/s]","total-req-rate [req/s]","ok-req-rate [req/s]","error-req-rate [req/s]","avg-res-time [ms]","ServerStatus"
"2023-04-18 14:07:35","1681801655000","0","0","0","0.016","0.018000000000000002","0.013999999999999999","0.048","327","27.3","502","113","1120","0","0","745","0","1130","744","0","0","1130","0","744","1.09","1.09","0","538","0"
"2023-04-18 14:07:40","1681801660000","0","0","0","0.004","0.004","0.004","0.068","327","27.3","502","113","1960","0","0.0112","1180","0","1960","1180","0","0.0108","1960","0","1180","1","1","0","557","0"
"2023-04-18 14:07:45","1681801665000","0","0","0","0.012","0.013999999999999999","0.013999999999999999","0.018000000000000002","327","27.3","502","113","71.7","0","0.0448","101","0","74.7","101","0","0.0216","76.6","0","101","0.927","0.927","0","549","0"
"2023-04-18 14:07:50","1681801670000","0","0","0","0.01","0.01","0.018000000000000002","0.048","327","27.3","502","113","1090","0","0.0112","669","0","1100","669","0","0.0108","1100","0","669","0.818","0.818","0","397","0"
"2023-04-18 14:07:55","1681801675000","0","0","0","0.002","0.002","0.002","0.034","327","27.3","502","113","999","0","0.0116","610","0","1000","610","0","0.0108","1000","0","610","0.745","0.745","0","454","0"
"2023-04-18 14:08:00","1681801680000","0","0","0","0.032","0.022000000000000002","0.024","0.03","327","27.3","502","113","158","0","0","142","0","163","142","0","0","165","0","142","0.655","0.655","0","462","0"
"2023-04-18 14:08:05","1681801685000","0","0","0","0.012","0.013999999999999999","0.013999999999999999","0.02","327","27.3","502","113","58.2","0","0","89.3","0","61","89.2","0","0","62.9","0","89.2","0.6","0.6","0","455","0"
"2023-04-18 14:08:10","1681801690000","0","0","0","0.008","0.01","0.012","0.036000000000000004","327","27.3","502","113","1050","0","0.033600000000000005","634","0","1060","634","0","0.03","1060","0","634","0.564","0.564","0","544","0"
"2023-04-18 14:08:15","1681801695000","0","0","0","0.008","0.006","0.013999999999999999","0.04","327","27.3","502","113","1140","0","0.0456","717","0","1140","717","0","0.0384","1140","0","717","0.564","0.564","0","531","0"
"2023-04-18 14:08:20","1681801700000","0","0","0","0.002","0.004","0.002","0.013999999999999999","327","27.3","502","113","31","0","0","371","0","31.7","371","0","0","33.6","0","371","0.564","0.564","0","540","0"
"2023-04-18 14:08:25","1681801705000","0","0","0","0.004","0","0.004","0.054000000000000006","327","27.3","502","113","2140","0","0","949","0","2140","949","0","0","2140","0","949","0.564","0.564","0","539","0"
