"Time","Timestamp","iowait","irq","nice","softirq","steal","system","user","Used","Buffer","Cached","Free","br-10cd1f6f3899 receive","docker0 receive","eth0 receive","eth1 receive","lo receive","veth6750e95 receive","br-10cd1f6f3899 transmit","docker0 transmit","eth0 transmit","eth1 transmit","lo transmit","veth6750e95 transmit","total-req-rate","ok-req-rate","error-req-rate","latency-50-percentile","latency-95-percentile","latency-99-percentile","avg-res-time","TimeToFail"
"2023-04-18 15:47:25","1681807645000","0%","0%","0%","6.60%","3.60%","6.80%","16.8%","335 MiB","27.8 MiB","511 MiB","95.9 MiB","4.41 GB/s","0 kB/s","0 kB/s","2.88 GB/s","0 kB/s","4.43 GB/s","2.88 GB/s","0 kB/s","0 kB/s","4.43 GB/s","0 kB/s","2.88 GB/s","2.09 req/s","2.09 req/s","0 req/s","699 ms","4.04 s","4.81 s","1.07 s","1238979"
"2023-04-18 15:47:30","1681807650000","0%","0%","0%","4.80%","3.60%","5.40%","18.8%","335 MiB","27.8 MiB","511 MiB","95.7 MiB","4.48 GB/s","0 kB/s","14.8 kB/s","3.32 GB/s","0 kB/s","4.50 GB/s","3.32 GB/s","0 kB/s","10.8 kB/s","4.50 GB/s","0 kB/s","3.32 GB/s","2.11 req/s","2.11 req/s","0 req/s","700 ms","3.96 s","4.79 s","1.05 s","1233979"
"2023-04-18 15:47:35","1681807655000","0%","0%","0%","5.80%","4.40%","5.60%","13.6%","335 MiB","27.8 MiB","511 MiB","95.7 MiB","4.07 GB/s","0 kB/s","0 kB/s","2.05 GB/s","0 kB/s","4.09 GB/s","2.05 GB/s","0 kB/s","0 kB/s","4.09 GB/s","0 kB/s","2.05 GB/s","2.13 req/s","2.13 req/s","0 req/s","717 ms","3.96 s","4.79 s","1.04 s","1228979"
"2023-04-18 15:47:40","1681807660000","0%","0%","0%","1.60%","1.20%","2.20%","11.4%","335 MiB","27.8 MiB","511 MiB","95.7 MiB","3.30 GB/s","0 kB/s","33.6 kB/s","2.06 GB/s","0 kB/s","3.30 GB/s","2.06 GB/s","0 kB/s","21.6 kB/s","3.31 GB/s","0 kB/s","2.06 GB/s","2.15 req/s","2.15 req/s","0 req/s","722 ms","4.02 s","4.80 s","1.05 s","1223979"
"2023-04-18 15:47:45","1681807665000","0%","0%","0%","4.80%","3.20%","5.60%","11.8%","335 MiB","27.8 MiB","511 MiB","95.7 MiB","2.47 GB/s","0 kB/s","22.4 kB/s","1.68 GB/s","0 kB/s","2.49 GB/s","1.68 GB/s","0 kB/s","10.8 kB/s","2.49 GB/s","0 kB/s","1.68 GB/s","2.18 req/s","2.18 req/s","0 req/s","671 ms","3.93 s","4.79 s","996 ms","1218979"
"2023-04-18 15:47:50","1681807670000","0%","0%","0%","2.00%","1.20%","3.40%","9.00%","335 MiB","27.8 MiB","511 MiB","95.7 MiB","2.33 GB/s","0 kB/s","0 kB/s","1.44 GB/s","0 kB/s","2.34 GB/s","1.44 GB/s","0 kB/s","0 kB/s","2.34 GB/s","0 kB/s","1.44 GB/s","2.11 req/s","2.11 req/s","0 req/s","647 ms","4.03 s","4.81 s","966 ms","1213979"
"2023-04-18 15:47:55","1681807675000","0%","0%","0%","1.00%","1.60%","1.60%","7.00%","335 MiB","27.8 MiB","511 MiB","95.7 MiB","2.03 GB/s","0 kB/s","19.2 kB/s","1.29 GB/s","0 kB/s","2.03 GB/s","1.29 GB/s","0 kB/s","24.8 kB/s","2.03 GB/s","0 kB/s","1.29 GB/s","2.07 req/s","2.07 req/s","0 req/s","578 ms","3.90 s","4.78 s","892 ms","1208979"
"2023-04-18 15:48:00","1681807680000","0%","0%","0%","1.80%","2.20%","2.60%","16.8%","335 MiB","27.8 MiB","511 MiB","95.7 MiB","5.08 GB/s","0 kB/s","23.6 kB/s","3.13 GB/s","0 kB/s","5.09 GB/s","3.13 GB/s","0 kB/s","19.2 kB/s","5.09 GB/s","0 kB/s","3.13 GB/s","1.98 req/s","1.98 req/s","0 req/s","525 ms","3.76 s","4.75 s","841 ms","1203979"
"2023-04-18 15:48:05","1681807685000","0%","0%","0%","3.20%","2.20%","3.60%","13.0%","335 MiB","27.8 MiB","511 MiB","95.7 MiB","3.36 GB/s","0 kB/s","0 kB/s","2.13 GB/s","0 kB/s","3.37 GB/s","2.13 GB/s","0 kB/s","0 kB/s","3.37 GB/s","0 kB/s","2.13 GB/s","1.87 req/s","1.87 req/s","0 req/s","495 ms","3.71 s","4.74 s","829 ms","1198979"
"2023-04-18 15:48:10","1681807690000","0%","0%","0%","1.20%","0.400%","1.80%","7.80%","335 MiB","27.8 MiB","511 MiB","95.7 MiB","2.83 GB/s","0 kB/s","0 kB/s","1.75 GB/s","0 kB/s","2.83 GB/s","1.75 GB/s","0 kB/s","0 kB/s","2.83 GB/s","0 kB/s","1.75 GB/s","1.82 req/s","1.82 req/s","0 req/s","478 ms","3.96 s","4.79 s","827 ms","1193979"
