"Time","Used","Buffer","Cached","Free"
2023-04-18 15:24:45,337 MiB,27.8 MiB,511 MiB,93.7 MiB
2023-04-18 15:24:50,337 MiB,27.8 MiB,511 MiB,93.7 MiB
2023-04-18 15:24:55,337 MiB,27.8 MiB,511 MiB,93.7 MiB
2023-04-18 15:25:00,337 MiB,27.8 MiB,511 MiB,93.7 MiB
2023-04-18 15:25:05,337 MiB,27.8 MiB,511 MiB,93.7 MiB
2023-04-18 15:25:10,337 MiB,27.8 MiB,511 MiB,93.7 MiB
2023-04-18 15:25:15,337 MiB,27.8 MiB,511 MiB,93.7 MiB
2023-04-18 15:25:20,337 MiB,27.8 MiB,511 MiB,93.7 MiB
2023-04-18 15:25:25,337 MiB,27.8 MiB,511 MiB,93.7 MiB
2023-04-18 15:25:30,337 MiB,27.8 MiB,511 MiB,93.7 MiB
2023-04-18 15:25:35,337 MiB,27.8 MiB,511 MiB,93.7 MiB
2023-04-18 15:25:40,337 MiB,27.8 MiB,511 MiB,93.7 MiB
2023-04-18 15:25:45,337 MiB,27.8 MiB,511 MiB,93.7 MiB
2023-04-18 15:25:50,337 MiB,27.8 MiB,511 MiB,93.7 MiB
2023-04-18 15:25:55,341 MiB,27.8 MiB,511 MiB,89.7 MiB
2023-04-18 15:26:00,341 MiB,27.8 MiB,511 MiB,89.7 MiB
2023-04-18 15:26:05,341 MiB,27.8 MiB,511 MiB,89.7 MiB
2023-04-18 15:26:10,341 MiB,27.8 MiB,511 MiB,89.7 MiB
2023-04-18 15:26:15,341 MiB,27.8 MiB,511 MiB,89.7 MiB
2023-04-18 15:26:20,341 MiB,27.8 MiB,511 MiB,89.7 MiB
2023-04-18 15:26:25,341 MiB,27.8 MiB,511 MiB,89.7 MiB
2023-04-18 15:26:30,341 MiB,27.8 MiB,511 MiB,89.7 MiB
2023-04-18 15:26:35,341 MiB,27.8 MiB,511 MiB,89.7 MiB
2023-04-18 15:26:40,341 MiB,27.8 MiB,511 MiB,89.7 MiB
2023-04-18 15:26:45,341 MiB,27.8 MiB,511 MiB,89.7 MiB
2023-04-18 15:26:50,341 MiB,27.8 MiB,511 MiB,89.7 MiB
2023-04-18 15:26:55,341 MiB,27.8 MiB,511 MiB,89.7 MiB
2023-04-18 15:27:00,341 MiB,27.8 MiB,511 MiB,89.7 MiB
2023-04-18 15:27:05,341 MiB,27.8 MiB,511 MiB,89.7 MiB
2023-04-18 15:27:10,341 MiB,27.8 MiB,511 MiB,89.7 MiB
